"","V1","V2","V3","V4","V5","V6","V7"
"1",0,0.0462820226702561,-1.0137463487138,-0.537542577639277,-0.204740692344243,-0.101221113946111,2.47966438294674
"2",1e-05,0.0416094732755998,-0.97280575933067,-0.531951196371755,-0.203634043243946,-0.113399926380362,2.45143092301537
"3",2e-05,0.0372684236425865,-0.9339728993685,-0.526638063350225,-0.202575148921151,-0.12480266087232,2.42440168694982
"4",3e-05,0.0332333068353116,-0.89709180158231,-0.521582684834776,-0.201560567811151,-0.135488384748628,2.39849033088263
"5",4e-05,0.0294810269461036,-0.862021477553833,-0.516766533828558,-0.200587187494981,-0.145510468048974,2.37361876173001
"6",5e-05,0.0259906692419234,-0.828634162394544,-0.512172819630755,-0.199652186154038,-0.154917251626719,2.34971617109545
"7",6e-05,0.0227432501278795,-0.796813800607399,-0.507786289051055,-0.198752999320087,-0.163752623445583,2.32671820189649
"8",7e-05,0.0197215007081539,-0.766454735326632,-0.503593054324053,-0.197887291090707,-0.172056517460434,2.30456622690703
"9",8e-05,0.0169096787868911,-0.737460569768847,-0.499580443631674,-0.197052929126068,-0.179865346945103,2.28320672207383
"10",9e-05,0.014293405044407,-0.709743175048928,-0.495736870841541,-0.196247962859367,-0.187212382103694,2.26259072037807
"11",1e-04,0.0118595198360206,-0.683221822879806,-0.492051721640769,-0.195470604449589,-0.194128080144242,2.24267333442784
"12",0.00011,0.00959595765398025,-0.657822425197671,-0.488515253706572,-0.194719212081838,-0.200640374653538,2.22341333788923
"13",0.00012,0.00749163675595854,-0.633476865637778,-0.485118508935961,-0.193992275284671,-0.206774930005875,2.20477279746997
"14",0.00013,0.00553636187125695,-0.61012241016761,-0.481853236067428,-0.193288401985323,-0.212555365642269,2.18671674846271
"15",0.00014,0.0037207382044312,-0.587701186168875,-0.478711822288812,-0.192606307068251,-0.218003454295111,2.16921290796168
"16",0.00015,0.00203609524604464,-0.566159720852392,-0.475687232635019,-0.191944802236166,-0.223139297627068,2.15223142073105
"17",0.00016,0.000474419098188794,-0.545448531283504,-0.472772956161186,-0.191302787004638,-0.227981482225741,2.13574463347819
"18",0.00017,-0.000971707761265317,-0.525521759399442,-0.469962958022121,-0.190679240684348,-0.23254721847385,2.11972689388557
"19",0.00018,-0.00230916022379979,-0.506336846369559,-0.467251636717907,-0.190073215227566,-0.236852464441678,2.10415437130111
"20",0.00019,-0.00354431859907411,-0.487854241426684,-0.464633785864264,-0.189483828831346,-0.240912036661669,2.08900489639498
"21",2e-04,-0.00468311166128932,-0.470037140999477,-0.462104559941297,-0.188910260206215,-0.244739709367371,2.07425781749643
"22",0.00021,-0.0057310552891412,-0.452851254523764,-0.45965944354485,-0.188351743430663,-0.248348303580638,2.05989387161313
"23",0.00022,-0.0066932872200689,-0.436264593798021,-0.457294223728753,-0.187807563322747,-0.251749767234194,2.04589506841122
"24",0.00023,-0.00757459835828012,-0.420247283179106,-0.455004965083255,-0.187277051269214,-0.254955247365788,2.03224458566187
"25",0.00024,-0.00837946104111564,-0.404771388238253,-0.452787987236848,-0.186759581460088,-0.257975155283734,2.01892667485305
"26",0.00025,-0.00911205459108089,-0.389810760830474,-0.450639844513405,-0.186254567483773,-0.260819225486513,2.00592657583342
"27",0.00026,-0.00977628845777223,-0.375340898757861,-0.448557307504977,-0.185761459242556,-0.26349656902935,1.99323043949001
"28",0.00027,-0.0103758232109175,-0.361338818457762,-0.446537346354141,-0.18527974015415,-0.266015721931544,1.98082525759357
