,3、您在双11期间购买的商品个数,5、您平时每月网购的商品个数
0,1,1
2,5,2
5,5,1
6,1,1
7,2,1
8,1,2
9,2,2
10,2,3
11,1,2
12,1,1
13,2,1
14,1,1
15,4,1
16,1,1
18,4,2
19,1,2
20,1,1
21,1,3
22,1,1
23,2,2
24,2,5
25,2,2
26,1,1
28,3,1
29,1,1
30,1,1
32,1,2
33,1,2
34,1,1
35,2,2
36,1,1
37,1,1
38,4,1
39,1,1
40,5,4
42,2,3
43,1,1
44,1,3
45,3,2
46,2,2
49,4,2
50,2,1
51,3,2
52,2,1
53,2,2
54,1,3
56,1,1
57,3,2
59,2,2
60,1,1
61,2,2
62,2,2
63,2,1
64,2,2
65,2,3
66,1,1
67,4,2
68,1,1
69,2,1
70,4,2
71,2,1
72,2,1
73,1,1
74,1,1
75,2,2
76,5,3
77,5,4
78,5,2
79,1,1
80,5,2
81,2,1
82,1,1
83,2,1
84,2,1
85,2,1
86,2,1
87,2,1
88,5,1
90,1,1
91,1,1
92,1,1
95,2,2
96,2,2
97,2,2
99,2,2
100,2,1
101,1,1
102,2,1
103,1,1
104,5,2
105,3,1
107,4,2
109,2,1
112,2,2
113,1,1
114,2,1
115,1,2
116,2,1
120,3,1
122,1,1
123,2,1
125,3,2
127,1,1
128,2,1
129,2,1
130,3,1
131,1,3
132,1,1
133,1,1
134,2,1
136,1,1
139,2,1
140,1,1
141,4,4
142,1,1
143,3,2
144,2,1
145,2,1
147,3,2
148,3,3
149,2,2
150,4,2
151,1,1
153,1,1
155,1,2
168,4,2
171,1,1
172,2,1
173,2,2
174,2,2
175,2,1
176,2,1
177,1,1
180,1,1
181,1,2
182,4,2
183,4,3
185,2,1
186,2,2
187,2,1
188,5,1
190,1,1
191,3,2
193,1,2
194,2,3
195,5,2
