,0
1、双11的购物意愿,5
2、您在双11期间的消费金额为：,6
3、您在双11期间购买的商品个数,5
4、您平时每月在网络上总体的消费情况为：,5
5、您平时每月网购的商品个数,5
6、您每月包括生活费在内的收入为：,7
7、(电子产品),2
7、(家用电器),2
7、(日用品),2
7、(游戏或软件充值),2
7、(书籍),2
7、(体验与服务),2
7、(食品),2
7、(药品),2
7、(首饰),2
7、(化妆品),2
7、(文具),2
7、(娱乐产品（玩具、手办等）),2
7、(衣物),2
8、(商品的实用性),2
8、(价格合理),2
8、(商品的图片或外形美观),2
8、(与卖家认识),2
8、(商品背后的文化因素),2
8、(个人的情绪因素),2
8、(跟随潮流),2
9、为确保本问卷的有效性，本题请选C,1
10、您对香菜的态度是？,3
11、您在双11期间是否有过冲动消费行为？,2
12、(电子产品),2
12、(日用品),2
12、(书籍),2
12、(游戏或软件充值),2
12、(体验与服务),2
12、(家用电器),2
12、(食品),2
12、(药品),1
12、(首饰),2
12、(化妆品),2
12、(娱乐产品（玩具、手办等）),2
12、(文具),2
12、(衣物),2
13、(商品降价),2
13、(大品牌或由名人代言，慕名已久),2
13、(以为能用得到),2
13、(跟随潮流),2
13、(亲朋推荐),2
13、(商品图片吸引眼球),2
13、(情绪因素),2
14、(觉得买贵了),2
14、(购买后与购买前的期望有差距),2
14、(只用了比较短的时间，之后就不常使用，成为了闲置商品),2
14、(以上情况均未出现过),2
15、(小于100元),2
15、(大于等于100元且小于200元),2
15、(大于等于200元且小于500元),2
15、(大于等于500元且小于1000元),2
15、(大于等于1000元),2
16、您平时冲动消费频率是,4
17、您发朋友圈的频率为？,6
18、(电子产品),2
18、(日用品),2
18、(书籍),2
18、(游戏或软件充值),2
18、(体验与服务),2
18、(家用电器),2
18、(食品),2
18、(药品),2
18、(首饰),2
18、(化妆品),2
18、(娱乐产品（玩具、手办等）),2
18、(文具),2
18、(衣物),2
19、(商品降价),2
19、(大品牌或由名人代言，慕名已久),2
19、(以为能用得到),2
19、(跟随潮流),2
19、(亲朋推荐),2
19、(商品图片吸引眼球),2
19、(情绪因素),2
20、(觉得买贵了),2
20、(购买后与购买前的期望有差距),2
20、(只用了比较短的时间，之后就不常使用了),2
20、(以上情况均未出现过),2
21、(转手卖给他人),2
21、(闲置吃灰，以后或许有用),2
21、(租借给他人),2
21、(直接丢弃),2
21、(慈善捐赠),2
22、(小于100元),2
22、(大于等于100元且小于200元),2
22、(大于等于200元且小于500元),2
22、(大于等于500元且小于1000元),2
22、(大于等于1000元),2
23、您的性别：,2
24、您的在读学历：,5
25、您目前就读的专业属于：,12
26、您的学科具体属于理学学科下的哪个专业分类呢？,7
27、您的学科具体属于法学学科下的哪个专业分类呢？,3
28、您的学科具体属于工学学科下的哪个专业分类呢？,12
29、您的学科具体属于文学学科下的哪个专业分类呢？,2
30、您的学科具体属于经济学学科下的哪个专业分类呢？,4
31、您的学科具体属于管理学学科下的哪个专业分类呢？,6
32、下列哪项更符合您的书桌情况：,3
t00,118
